status,league,pregame_home_wp,away_ID,traversals_70_30,tension_game_score,home_ID,elo_transfer,home_score,game_date,away_score,ID
completedFromLiveStats,NCAA D1 Men,0.832156,31,,,3,4.857,20,2021-02-20,9,9191
completedFromLiveStats,NCAA D1 Men,0.574392,3,,,30,41.865,7,2021-02-26,13,9205
completedFromLiveStats,NCAA D1 Men,0.745071,28,,,3,6.435,18,2021-03-06,10,9206
completedFromLiveStats,NCAA D1 Men,0.689852,6,,,3,9.143,19,2021-03-13,12,9207
completedFromLiveStats,NCAA D1 Men,0.259085,3,,,29,36.086,8,2021-03-20,16,9208
completedFromLiveStats,NCAA D1 Men,0.077895,3,,,31,24.628,12,2021-04-10,18,9388
completedFromLiveStats,NCAA D1 Men,0.719282,30,,,3,7.746,17,2021-04-03,10,9393
completedFromLiveStats,NCAA D1 Men,0.0968506,3,,,28,8.978,13,2021-04-24,14,9394
completedFromLiveStats,NCAA D1 Men,0.265797,3,,,6,25.989,9,2021-03-28,13,9395
completedFromLiveStats,NCAA D1 Men,0.816886,29,,,3,5.798,18,2021-04-18,8,9396
completedFromLiveStats,NCAA D1 Men,0.933696,31,,,3,1.406,16,2021-05-06,8,9799
completedFromLiveStats,NCAA D1 Men,0.865569,28,,,3,1.512,12,2021-05-08,10,9835
completedFromLiveStats,NCAA D1 Men,0.846585,38,,,3,3.402,17,2021-05-16,11,9854
completedFromLiveStats,NCAA D1 Men,0.695127,1,2,103.0,3,2.933,14,2021-05-23,13,9879
completedFromLiveStats,NCAA D1 Men,0.460978,3,0,134.0,37,44.42,5,2021-05-29,14,9888
completedFromLiveStats,NCAA D1 Men,0.704926,11,0,114.0,3,17.426,16,2021-05-31,17,9892
scheduled,NCAA D1 Men,0.380859,3,,,37,,,2021-10-31,,9998
